Length,LHTR,PDR,EN,Rich,MTL
32.74318502,7.609932678,1.19535461,16.43819204,13.94,3.575935767
33.30110696,6.771454524,1.499001682,13.20014912,13.59,3.623445317
37.02415004,7.745378831,1.399857912,13.08806098,13.32,3.553227731
33.04787577,5.468704571,1.401057401,13.43915215,12.59,3.611557783
35.19899649,5.610044739,1.64165569,12.61641212,12.52,3.634935985
37.95308216,9.251390079,1.457454684,16.08457809,12.59,3.450089159
38.11413872,11.43199065,2.049095194,13.38016155,12.76,3.472425224
39.06523775,9.741456317,1.82511941,16.28956545,12.58,3.557147831
36.94139737,12.24328846,2.08148513,16.63756211,12.95,3.477848609
33.64587962,12.26729767,1.744165983,20.59253849,13.31,3.489971711
35.03050717,12.08593912,1.722412158,18.88173113,12.89,3.465322418
33.57084158,14.22353979,2.632311299,18.30246631,13.18,3.437052077
36.40136208,6.995627334,1.339637558,19.04041416,13.1,3.541841558
37.15446263,7.784458523,1.881638929,17.13118343,12.39,3.609712151
36.08974463,7.393024393,1.17821004,26.12237977,12.85,3.500426486
33.68991787,10.75440517,1.633403418,20.96344675,12.93,3.495207104
34.83269212,8.29587843,1.120017902,32.45855663,14.04,3.550920525
36.53524515,7.622006665,1.524577619,17.64839473,13.26,3.627729697
38.14914719,8.427433658,1.770704625,16.03821278,13.28,3.664201556
35.65818157,6.687480272,1.312083916,19.73416645,13.77,3.647778099
38.92262417,8.698630181,1.645273223,14.11989026,13.17,3.628369902
42.00601546,10.66641303,2.337277101,13.64010943,13.97,3.603582412
39.57987694,9.714745096,1.501301402,22.94687234,14.65,3.520217481
37.83861234,8.55486092,1.408813169,20.44733866,14.37,3.608580495
35.1532163,8.219228719,1.062199053,20.11338765,14.49,3.579877324
33.71568856,8.875999002,1.283679178,17.68581367,14.02,3.610798034
35.89976892,8.703863134,1.161586318,17.84009215,14.09,3.567565821
33.46246522,8.453541496,1.127682781,14.91264067,13.78,3.554788704
36.41258261,8.41836011,1.293144965,13.8176837,14.16,3.504675832
35.5694004,7.772339207,1.167628284,20.99024431,14.45,3.536377096
35.15441863,9.531621986,1.492286578,17.20271769,13.85,3.477250623
38.30557593,8.844337467,1.778190627,14.74075439,13.35,3.612261576
