Population inc,Seafood,Landings,Landings -1,Exploitation,Exploitation -1,GDP,AMO,MEI,SST,Freshwater,Chlorophyll,Currents,Hypoxic area,AWP ,GDP.inc
1.635430673,28.576296,4.597323608,,0.606125641,,6.682232091,-0.21,1.30375,25.98122,0.137,,29.275,10804,1.62,
1.609307567,35.7430496,5.485717419,4.597323608,0.4678024,0.606125641,7.109952469,-0.2025,1.087333333,26.1181,0.215,,28.71666667,17600,2.16,0.064008609
1.583819047,33.6111672,7.035667277,5.485717419,0.624160948,0.4678024,7.64926728,-0.1775,0.72675,26.27564,0.1836,,29.2825,16600,1.83,0.075853504
1.558938484,28.4402184,4.835489748,7.035667277,0.355606081,0.624160948,8.147420806,0.1375,0.197916667,26.38579,0.1567,,28.39639,18200,2.93,0.065124346
1.535192615,28.1680632,4.953781494,4.835489748,0.352210556,0.355606081,8.733754188,-0.035,-0.347,26.03125,0.145,,28.00972333,17920,1.73,0.071965521
1.511799608,28.9845288,5.880327107,4.953781494,0.56702445,0.352210556,9.430370669,0.04,1.543666667,26.2811,0.1982,,29.54166667,15840,2.4,0.079761402
1.4894631,28.3495,5.107039592,5.880327107,0.411248352,0.56702445,10.03482959,0.375,0.848166667,26.29921,0.1705,0.864633,29.58222333,12480,3.87,0.064097048
1.467603685,28.8938104,6.537384311,5.107039592,0.691223282,0.411248352,10.62115568,0.1625,-0.926916667,26.46969,0.1589,0.7375654,27.875,20000,3.02,0.058429103
1.44620328,27.8505488,5.898824888,6.537384311,0.526141318,0.691223282,11.38961864,0.055,-0.531583333,26.50825,0.0947,0.6490337,27.08083333,4400,2.41,0.072352104
1.357416594,28.8484512,5.262169236,5.898824888,0.731992408,0.526141318,11.94397007,0.11,-0.15325,26.42958,0.1341,0.7532676,28.46361,20720,2.99,0.048671641
1.307210468,29.937072,5.629168982,5.262169236,0.576074725,0.731992408,12.33425917,0.1,0.580583333,26.58007,0.1618,0.7513946,28.76305667,22000,2.3,0.032676664
1.267381354,30.9349744,5.216113524,5.629168982,0.526557038,0.576074725,13.09859872,0.23,0.45275,26.35597,0.1457,0.7588201,29.65944333,8560,2.68,0.061968825
1.56337287,31.4339256,4.802855079,5.216113524,0.406365649,0.526557038,14.27490807,0.225,0.4125,26.43796,0.1538,0.7464091,27.98722333,15040,2.55,0.089804213
1.637829934,31.3432072,3.876836407,4.802855079,0.292135451,0.406365649,15.59383945,0.3075,0.320166667,26.51423,0.1581,0.7793908,28.55277667,11840,3.97,0.092395087
0.131951951,31.7060808,4.463776492,3.876836407,0.355113143,0.292135451,16.77385696,0.29,0.303166667,26.6565,0.0889,0.6834669,28.21194333,17280,2.98,0.075672031
1.591828165,30.7988968,4.552327134,4.463776492,0.41970817,0.355113143,17.68097881,0.17,-0.334833333,26.45102,0.1414,0.7204926,28.13222333,20500,2.82,0.054079503
1.397898934,28.6670144,4.143039673,4.552327134,0.372326054,0.41970817,18.10850248,0.1675,-0.681833333,26.3828,0.1873,0.8211231,27.84944333,20720,2.67,0.024179864
1.224314696,27.895908,5.196296305,4.143039673,0.488676378,0.372326054,17.24134716,0.0525,0.391583333,26.64568,0.1581,0.8494195,28.1175,8000,2.86,-0.047886639
0.897297136,28.8484512,4.174257221,5.196296305,0.511747288,0.488676378,18.10670304,0.3625,-0.423583333,26.05291,0.2004,0.8383523,28.805,20000,4.3,0.050190735
